race_code_uma_kol,bamei,chokyo2_flag,chokyo3_flag,chokyo_awase_flag,raw_chokyo_awase,chokyo_den_awase_flag,chokyo_den_awase,chokyo_den_awase_kubun,validation_result
202602150401061209,ストーンズ,,1,2,ラヴェニューに0.1秒遅れ,2,ラヴェニューに0.1秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602150002061206,カワキタマナレア,,1,2,パシフィックハイに0.2秒先着,2,パシフィックハイに0.2秒先着,併せ先着,Other Pattern (Check manually)
202602150401061107,ベレシート,,1,2,センツブラッドに同入,2,センツブラッドに同入,併せ同入,Other Pattern (Check manually)
202602150301081108,マイネルジェロディ,,1,2,メイショウフンジンに0.8秒先着,2,メイショウフンジンに0.8秒先着,併せ先着,Other Pattern (Check manually)
202602150401061003,ノーブルロジャー,,1,2,ホワイトフレイムスに0.1秒遅れ,2,ホワイトフレイムスに0.1秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602150002061003,シャルクハフト,,1,2,レッドパラジウムに同入,2,レッドパラジウムに同入,併せ同入,Other Pattern (Check manually)
202602150301081004,ニシノラヴァンダ,,1,2,クインズサクラに0.4秒先着,2,クインズサクラに0.4秒先着,併せ先着,Other Pattern (Check manually)
202602150301081017,タイキエクセロン,,1,2,アンデスビエントに0.2秒遅れ,2,アンデスビエントに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602150401060907,コスモエスパーダ,,1,2,フェーダーローターに同入,2,フェーダーローターに同入,併せ同入,Other Pattern (Check manually)
202602150401060912,レッドアトレーヴ,,1,2,モートンアイランドに0.1秒先着,2,モートンアイランドに0.1秒先着,併せ先着,Other Pattern (Check manually)
202602150401060909,エスコバル,,1,2,ニットウライズに0.2秒先着,2,ニットウライズに0.2秒先着,併せ先着,Other Pattern (Check manually)
202602150401060910,モンドデラモーレ,,1,2,ニシノエージェントに同入,2,ニシノエージェントに同入,併せ同入,Other Pattern (Check manually)
202602150401060903,キュクヌス,,1,2,クルミナーレに同入,2,クルミナーレに同入,併せ同入,Other Pattern (Check manually)
202602150301080903,ハートメテオ,,1,2,マリンパレスに同入,2,マリンパレスに同入,併せ同入,Other Pattern (Check manually)
202602150401060805,レッドライトニング,,1,2,ソニックラインに0.1秒先着,2,ソニックラインに0.1秒先着,併せ先着,Other Pattern (Check manually)
202602150301080806,イプシロンナンバー,,1,2,ルーポに0.2秒遅れ,2,ルーポに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602150401060704,オーサムデアラー,,1,2,グレイスザクラウンに同入,2,グレイスザクラウンに同入,併せ同入,Other Pattern (Check manually)
202602150301080713,ローレルオーブ,,1,2,キミオモウハナに同入,2,キミオモウハナに同入,併せ同入,Other Pattern (Check manually)
202602150401060601,キョウエイグッド,,1,2,ロードトライデントに0.2秒遅れ,2,ロードトライデントに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602150401060602,キロノヴァ,,1,2,ダノンロッキーに同入,2,ダノンロッキーに同入,併せ同入,Other Pattern (Check manually)
202602150002060610,マサノハヤブサ,,1,2,アクアマイスターに0.6秒先着,2,アクアマイスターに0.6秒先着,併せ先着,Other Pattern (Check manually)
202602150002060618,キタノボストン,,1,2,パーティーガールに同入,2,パーティーガールに同入,併せ同入,Other Pattern (Check manually)
202602150002060613,ホワイトフレイムス,,1,2,ノーブルロジャーに0.1秒先着,2,ノーブルロジャーに0.1秒先着,併せ先着,Other Pattern (Check manually)
202602150301080601,ラミントン,,1,2,エンデュミオンに同入,2,エンデュミオンに同入,併せ同入,Other Pattern (Check manually)
202602150301080612,ピティロディア,,,3,ホレーショに0.1秒遅れ,,,,Other Pattern (Check manually)
202602150301080510,ホノボノ,,,2,ブルバンビーナに同入,,,,Other Pattern (Check manually)
202602150301080511,モンロワイヤル,,1,2,パノラマステージに同入,2,パノラマステージに同入,併せ同入,Other Pattern (Check manually)
202602150301080504,ブルージェネシス,,,2,ノーブルミステリーに0.1秒遅れ,,,,Other Pattern (Check manually)
202602150401060404,ユアフェリシティ,,1,2,フォルテムに同入,2,フォルテムに同入,併せ同入,Other Pattern (Check manually)
202602150301080412,バルサムノート,,,2,アンリミテッドに同入,,,,Other Pattern (Check manually)
202602150401060309,ハスカップジャム,,1,2,カポレイラに同入,2,カポレイラに同入,併せ同入,Other Pattern (Check manually)
202602150401060314,バターショコラ,,1,2,マッドヘッドラブに0.1秒先着,2,マッドヘッドラブに0.1秒先着,併せ先着,Other Pattern (Check manually)
202602150002060303,レッドパラジウム,,1,2,シャルクハフトに同入,2,シャルクハフトに同入,併せ同入,Other Pattern (Check manually)
202602150002060307,ダイイズキャスト,,1,2,エアセンチュリーに0.6秒先着,2,エアセンチュリーに0.6秒先着,併せ先着,Other Pattern (Check manually)
202602150002060302,フラゲルムデイ,,1,2,シンデレラヒメに0.6秒遅れ,2,シンデレラヒメに0.6秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602150301080211,ソニックブレイカー,,1,2,ハニーオーケストラに0.2秒先着,2,ハニーオーケストラに0.2秒先着,併せ先着,Other Pattern (Check manually)
202602150301080212,メロウアンバー,,1,2,マリーイメルに同入,2,マリーイメルに同入,併せ同入,Other Pattern (Check manually)
202602150401060107,ラインジーク,,1,2,ケンブリッジに0.2秒先着,2,ケンブリッジに0.2秒先着,併せ先着,Other Pattern (Check manually)
202602150401060104,プレシャスノワール,,,2,チョウシュンカに0.1秒遅れ,,,,Other Pattern (Check manually)
202602140002051214,クリナッチ,,1,2,モルニケに0.2秒遅れ,2,モルニケに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602140301071205,ブルバンビーナ,,,2,ホノボノに同入,,,,Other Pattern (Check manually)
202602140301071204,ウインボレロ,,1,2,コスモフレディに同入,2,コスモフレディに同入,併せ同入,Other Pattern (Check manually)
202602140301071209,パシフィックハイ,,1,2,カワキタマナレアに0.2秒遅れ,2,カワキタマナレアに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602140401051101,ドリームコア,,1,2,ジャサルディアに0.1秒先着,2,ジャサルディアに0.1秒先着,併せ先着,Other Pattern (Check manually)
202602140401051107,フェーダーローター,,1,2,コスモエスパーダに同入,2,コスモエスパーダに同入,併せ同入,Other Pattern (Check manually)
202602140002051102,サトノカルナバル,,1,2,ブリスキーに0.4秒先着,2,ブリスキーに0.4秒先着,併せ先着,Other Pattern (Check manually)
202602140301071114,フォルテム,,1,2,ユアフェリシティに同入,2,ユアフェリシティに同入,併せ同入,Other Pattern (Check manually)
202602140401051009,オーサムストローク,,1,2,トルショーに同入,2,トルショーに同入,併せ同入,Other Pattern (Check manually)
202602140002051011,ハギノアルデバラン,,1,2,ロードプレジールにクビ先着,2,ロードプレジールにクビ先着,併せ先着,Other Pattern (Check manually)
202602140301071011,ラホーヤストーム,,1,2,ヴァレッタカズマに0.4秒遅れ,2,ヴァレッタカズマに0.4秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602140301071004,ザウリ,,1,2,シュテルンビルトに0.1秒遅れ,2,シュテルンビルトに0.1秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602140002050902,ブライトフレア,,1,2,コテツハマーに同入,2,コテツハマーに同入,併せ同入,Other Pattern (Check manually)
202602140002050911,メイショウハッケイ,,1,2,ツーエムクロノスに同入,2,ツーエムクロノスに同入,併せ同入,Other Pattern (Check manually)
202602140301070902,ブラックハヤテ,,1,2,ワイズゴールドに0.6秒遅れ,2,ワイズゴールドに0.6秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602140401050803,ニシノクードクール,,1,2,ノーブルアスールに0.8秒先着,2,ノーブルアスールに0.8秒先着,併せ先着,Other Pattern (Check manually)
202602140002050805,ノボリクレバー,,1,2,メイショウプレマに同入,2,メイショウプレマに同入,併せ同入,Other Pattern (Check manually)
202602140301070802,ローディアマント,,1,2,リアレストに0.4秒遅れ,2,リアレストに0.4秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602140401050706,ルージュブリッツ,,1,2,アオイミズホに0.1秒遅れ,2,アオイミズホに0.1秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602140401050703,タイセイアストロ,,1,2,ルージュアズライトに同入,2,ルージュアズライトに同入,併せ同入,Other Pattern (Check manually)
202602140002050704,ミヤジマナ,,1,2,ムーランラデに同入,2,ムーランラデに同入,併せ同入,Other Pattern (Check manually)
202602140002050709,ラウルベア,,1,2,タイセイサーブルに同入,2,タイセイサーブルに同入,併せ同入,Other Pattern (Check manually)
202602140002050712,クインズメレンゲ,,,3,シートゥサミットに0.9秒遅れ,,,,Other Pattern (Check manually)
202602140301070707,キミオモウハナ,,1,2,ローレルオーブに同入,2,ローレルオーブに同入,併せ同入,Other Pattern (Check manually)
202602140002050613,フレアオブセンス,,1,2,ショウナンアデイブに同入,2,ショウナンアデイブに同入,併せ同入,Other Pattern (Check manually)
202602140002050616,シートゥサミット,,1,2,ナルキッソスに0.4秒先着,2,ナルキッソスに0.4秒先着,併せ先着,Other Pattern (Check manually)
202602140301070608,ディクシーヴォーグ,,1,2,シュードタキライトに同入,2,シュードタキライトに同入,併せ同入,Other Pattern (Check manually)
202602140301070605,ホシニネガイヲ,,1,2,ユイノカタリベに同入,2,ユイノカタリベに同入,併せ同入,Other Pattern (Check manually)
202602140401050515,ナックセシリア,,1,2,ポッドスモーカーに0.8秒遅れ,2,ポッドスモーカーに0.8秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602140002050511,リアンドゥクール,,1,2,エンヴェロップに0.1秒先着,2,エンヴェロップに0.1秒先着,併せ先着,Other Pattern (Check manually)
202602140301070515,シュプリームレルム,,1,2,ロゼアに0.1秒先着,2,ロゼアに0.1秒先着,併せ先着,Other Pattern (Check manually)
202602140401050415,アンジュブルー,,1,2,ニットウエースに同入,2,ニットウエースに同入,併せ同入,Other Pattern (Check manually)
202602140401050409,ラガッツァケコーレ,,1,2,エイシンウィゾールに同入,2,エイシンウィゾールに同入,併せ同入,Other Pattern (Check manually)
202602140401050305,ロードトライデント,,1,2,キョウエイグッドに0.2秒先着,2,キョウエイグッドに0.2秒先着,併せ先着,Other Pattern (Check manually)
202602140301070313,オンマイビート,,1,2,ディジョネットに0.2秒先着,2,ディジョネットに0.2秒先着,併せ先着,Other Pattern (Check manually)
202602140002050216,マクアケ,,1,2,ガラードに0.2秒遅れ,2,ガラードに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602140301070209,ミラクルスパート,,1,2,ユキノサイエンスに同入,2,ユキノサイエンスに同入,併せ同入,Other Pattern (Check manually)
202602140301070214,メーテルリンク,,,2,パンジーに0.2秒先着,,,,Other Pattern (Check manually)
202602140301070103,サウンドディアナ,,1,2,ゴッドヴァレーに同入,2,ゴッドヴァレーに同入,併せ同入,Other Pattern (Check manually)
202602100401041116,ブエナオンダ,,1,2,グロリアスマーチに同入,2,グロリアスマーチに同入,併せ同入,Other Pattern (Check manually)
202602100401041112,ウォーターリヒト,,1,2,アンティスマに0.4秒先着,2,アンティスマに0.4秒先着,併せ先着,Other Pattern (Check manually)
202602100401041008,バロッサヴァレー,,1,2,ロゼアに0.2秒先着,2,ロゼアに0.2秒先着,併せ先着,Other Pattern (Check manually)
202602100002040907,ミニトランザット,,1,2,ナイトアクアリウムに同入,2,ナイトアクアリウムに同入,併せ同入,Other Pattern (Check manually)
202602100002040905,フライングブレード,,1,2,メイショウカクウチに0.1秒遅れ,2,メイショウカクウチに0.1秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602100002040704,サンコンクエスト,,1,2,ザックザクに同入,2,ザックザクに同入,併せ同入,Other Pattern (Check manually)
202602100002040703,アイブリンク,,1,2,ミッキークレストに0.5秒遅れ,2,ミッキークレストに0.5秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602100401040604,テンバコウクウ,,1,2,ヘルヴィッツに0.1秒遅れ,2,ヘルヴィッツに0.1秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602100002040613,ニテンイチリュウ,,1,2,ペイシャサウスに0.2秒遅れ,2,ペイシャサウスに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602100002040604,レッドブライトン,,1,2,ウインポセイドンに同入,2,ウインポセイドンに同入,併せ同入,Other Pattern (Check manually)
202602100002040610,ルクスユアン,,1,2,オックスアイに0.2秒遅れ,2,オックスアイに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602100401040506,マウンテンバローズ,,1,2,ヴォルスターにクビ先着,2,ヴォルスターにクビ先着,併せ先着,Other Pattern (Check manually)
202602100002040403,シェーネアウゲン,,1,2,オックスアイに同入,2,オックスアイに同入,併せ同入,Other Pattern (Check manually)
202602100002040408,ヴェーヌドール,,1,2,ソルトクィーンにクビ遅れ,2,ソルトクィーンにクビ遅れ,併せ遅れ,Other Pattern (Check manually)
202602100002040314,トリーア,,1,2,サウンドディアナに同入,2,サウンドディアナに同入,併せ同入,Other Pattern (Check manually)
202602100002040304,アンティスマ,,1,2,ウォーターリヒトに0.4秒遅れ,2,ウォーターリヒトに0.4秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602100002040201,アンリミテッド,,1,2,バルサムノートに同入,2,バルサムノートに同入,併せ同入,Other Pattern (Check manually)
202602100002040207,メイショウゴウケツ,,1,2,ウォーターリヒトに0.6秒遅れ,2,ウォーターリヒトに0.6秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602100401040114,ロザヴィータ,,1,2,ヨドノティアラに0.1秒遅れ,2,ヨドノティアラに0.1秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602090002040907,ミニトランザット,,1,2,ナイトアクアリウムに同入,2,ナイトアクアリウムに同入,併せ同入,Other Pattern (Check manually)
202602090002040905,フライングブレード,,1,2,メイショウカクウチに0.1秒遅れ,2,メイショウカクウチに0.1秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602090002040703,アイブリンク,,1,2,ミッキークレストに0.5秒遅れ,2,ミッキークレストに0.5秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602090002040704,サンコンクエスト,,1,2,ザックザクに同入,2,ザックザクに同入,併せ同入,Other Pattern (Check manually)
202602090002040604,レッドブライトン,,1,2,ウインポセイドンに同入,2,ウインポセイドンに同入,併せ同入,Other Pattern (Check manually)
202602090002040610,ルクスユアン,,1,2,オックスアイに0.2秒遅れ,2,オックスアイに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602090002040613,ニテンイチリュウ,,1,2,ペイシャサウスに0.2秒遅れ,2,ペイシャサウスに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602090002040408,ヴェーヌドール,,1,2,ソルトクィーンにクビ遅れ,2,ソルトクィーンにクビ遅れ,併せ遅れ,Other Pattern (Check manually)
202602090002040403,シェーネアウゲン,,1,2,オックスアイに同入,2,オックスアイに同入,併せ同入,Other Pattern (Check manually)
202602090002040314,トリーア,,1,2,サウンドディアナに同入,2,サウンドディアナに同入,併せ同入,Other Pattern (Check manually)
202602090002040304,アンティスマ,,1,2,ウォーターリヒトに0.4秒遅れ,2,ウォーターリヒトに0.4秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602090002040201,アンリミテッド,,1,2,バルサムノートに同入,2,バルサムノートに同入,併せ同入,Other Pattern (Check manually)
202602090002040207,メイショウゴウケツ,,1,2,ウォーターリヒトに0.6秒遅れ,2,ウォーターリヒトに0.6秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602080301061210,ランスオブプライム,,1,2,ヴィスマールに0.1秒遅れ,2,ヴィスマールに0.1秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602080301061217,トモサカエ,,1,2,アリスメティークに同入,2,アリスメティークに同入,併せ同入,Other Pattern (Check manually)
202602080301061201,ルパヴィヨン,,,2,ビースタニングに同入,,,,Other Pattern (Check manually)
202602080401041112,ウォーターリヒト,,1,2,アンティスマに0.4秒先着,2,アンティスマに0.4秒先着,併せ先着,Other Pattern (Check manually)
202602080401041116,ブエナオンダ,,1,2,グロリアスマーチに同入,2,グロリアスマーチに同入,併せ同入,Other Pattern (Check manually)
202602080301061109,ダンテスヴュー,,1,2,キッコベッロに同入,2,キッコベッロに同入,併せ同入,Other Pattern (Check manually)
202602080401041008,バロッサヴァレー,,1,2,ロゼアに0.2秒先着,2,ロゼアに0.2秒先着,併せ先着,Other Pattern (Check manually)
202602080301061011,サンキャメロン,,1,2,リッチリーエコーに0.2秒先着,2,リッチリーエコーに0.2秒先着,併せ先着,Other Pattern (Check manually)
202602080301061003,タイヨウフレア,,1,2,トーセンサウダージに同入,2,トーセンサウダージに同入,併せ同入,Other Pattern (Check manually)
202602080301061010,ディアウス,,1,2,オーロラボレアリスに同入,2,オーロラボレアリスに同入,併せ同入,Other Pattern (Check manually)
202602080002040905,フライングブレード,,1,2,メイショウカクウチに0.1秒遅れ,2,メイショウカクウチに0.1秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602080002040907,ミニトランザット,,1,2,ナイトアクアリウムに同入,2,ナイトアクアリウムに同入,併せ同入,Other Pattern (Check manually)
202602080301060816,キタノクニカラ,,1,2,マサノユニコーンに同入,2,マサノユニコーンに同入,併せ同入,Other Pattern (Check manually)
202602080002040703,アイブリンク,,1,2,ミッキークレストに0.5秒遅れ,2,ミッキークレストに0.5秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602080002040704,サンコンクエスト,,1,2,ザックザクに同入,2,ザックザクに同入,併せ同入,Other Pattern (Check manually)
202602080301060705,ピリカサンライズ,,1,2,フラッシングに同入,2,フラッシングに同入,併せ同入,Other Pattern (Check manually)
202602080401040604,テンバコウクウ,,1,2,ヘルヴィッツに0.1秒遅れ,2,ヘルヴィッツに0.1秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602080002040610,ルクスユアン,,1,2,オックスアイに0.2秒遅れ,2,オックスアイに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602080002040604,レッドブライトン,,1,2,ウインポセイドンに同入,2,ウインポセイドンに同入,併せ同入,Other Pattern (Check manually)
202602080002040613,ニテンイチリュウ,,1,2,ペイシャサウスに0.2秒遅れ,2,ペイシャサウスに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602080401040506,マウンテンバローズ,,1,2,ヴォルスターにクビ先着,2,ヴォルスターにクビ先着,併せ先着,Other Pattern (Check manually)
202602080301060503,マテンロウプリンス,,1,2,セガンティーニに同入,2,セガンティーニに同入,併せ同入,Other Pattern (Check manually)
202602080002040408,ヴェーヌドール,,1,2,ソルトクィーンにクビ遅れ,2,ソルトクィーンにクビ遅れ,併せ遅れ,Other Pattern (Check manually)
202602080002040403,シェーネアウゲン,,1,2,オックスアイに同入,2,オックスアイに同入,併せ同入,Other Pattern (Check manually)
202602080301060407,バルサムノート,,1,2,アンリミテッドに同入,2,アンリミテッドに同入,併せ同入,Other Pattern (Check manually)
202602080002040314,トリーア,,1,2,サウンドディアナに同入,2,サウンドディアナに同入,併せ同入,Other Pattern (Check manually)
202602080002040304,アンティスマ,,1,2,ウォーターリヒトに0.4秒遅れ,2,ウォーターリヒトに0.4秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602080002040201,アンリミテッド,,1,2,バルサムノートに同入,2,バルサムノートに同入,併せ同入,Other Pattern (Check manually)
